𐘀	DA
𐜢	*318+[]
𐜣	*330+DA
𐜤	*330+SA
𐜥	*337+*188
𐜦	*341+PI
𐚈𐙗	CYP+*348
𐜧	*648
𐜨	*401+[]
𐚡𐘇	*401+A
𐜩	*401+RU
𐜪	*401+RO
𐜫	*401+*304
𐜬	*402+A
𐜭	*405+Ω
𐜮	*406VAS+KE
𐜯	*414+A
𐜰	*412+E
𐜱	*659
𐜲	*413+SU
𐜳	*414+[]
𐜴	*414+F
𐜵	*416+L2
𐜶	*418+L2
𐝀	*701
𐝁	B
𐝂	D
𐝃	E
𐝄	F
𐝅	H
𐝆	J
𐝇	K
𐝈	L
𐝉	L2
𐝊	L3
𐝋	L4
𐝌	L6
𐝍	W
𐝎	X
𐝏	Y
𐝐	Ω
𐝑	B
𐝒	BB
𐝁𐝌	BL6
𐝓	DD
𐝂𐝂𐝂𐝂	DDDD
𐝃𐝁	EB
𐝃𐝃	EE
𐝃𐝄	EF
𐝃𐝆	EJ
𐝃𐝉	EL2
𐝃𐝋	EL4
𐝃𐝌	EL6
𐝔	EYYY
𐝄𐝇	FK
𐝄𐝈	FL
𐝅𐝇	HK
𐝆𐝀	J
𐝆𐝁	JB
𐝕	JE
𐝆𐝃𐝁	JEB
𐝆𐝃𐝉	JEL2
𐝆𐝄	JF
𐝆𐝅	JH
𐝆𐝆	JJ
𐝆𐝇	JK
𐝆𐝉	JL2
𐝇𐝉	KL2
𐝈𐝈	LL
𐝈𐝉	LL2
𐝉𐝋	L2L4
𐝠	*800
𐝡	*801
𐝢	*802
𐝣	*803
𐝤	*804
𐝥	*805
𐝦	*806
𐝧	*807
𐙇𐘍	*808
𐄁	*900
𐄀	*901
𐄀	*902
𐄂	*903
𐙫	*904
𐝆	*905
𐝇	*906
𐝬	*809
𐝭	*810
𐝮	*811
𐚢𐘌𐘰	*812
𐚯𐘲𐘫	*813
𐚰𐘾𐘁𐘰	*814
𐚢	*815
𐚢𐘲𐘰𐘴	*816
𐚢𐘂𐘳𐘿	*817
𐙞𐘸𐘫	*818
𐙝𐘀𐘫	*819
𐙝𐘶𐘸	*820
𐙝𐘭𐘶	*821
𐙟𐘀𐘶	*822
𐙟𐘘𐘾	*823
𐙝𐘭	*824
𐙞𐘭𐘶	*825
𐚥𐝇	*826
𐙄𐘤𐘙	*827
𐘮𐘃	*828
𐝯	*829
